id_perfil;clase;lugares
AALLHT7ALKIN7FHV6ZKXE2WZOY;Undetermined;none
AAZSPJKFYKBPURV5L2SXNTTYFM;World;California - Rockingham Australia
ACKTH35GSIDHOKVLNZOHYJQCDE;USA only;Marietta, Ga 
AD3ZD3QE5GDJZYN2LDMPUTDLVY;USA only;california
ADWMPZIB2LSXE75DYJW5BKQGJI;Undetermined;none
AEMHF2UPLZ5YM76ZH6OQFY3FAQ;Undetermined;none
AEQGISEFPL6IYN2BPB7ZZR3VK4;Undetermined;none
AEYYIV345OWVIBXASFAQPFQ6TA;Undetermined;none
AFGB5T764OSPR4ILHVRNOTGZQQ;Non-USA;Namibia, Africa
AFMTY25I3CUW5QO3VY5SMZLOKA;Undetermined;none
AFNVMA3P2NQ6SXC6QDRRVO7NRE;USA only;Gastonia, N.C
AFU3YOWEHFGF7XXYZHHDQRZHGE;USA only;Florida
AI3X2B7VQH7QF3O7PX247F43PU;USA only;Utah
AI7FSZWYCUSRBJAMLGPMRPB7UY;Undetermined;none
AIIV4L27JPSIZLP4SLMSEYXBBM;Non-USA;Derbyshire, England
AIRILCKQIKSXUJRO6H255YRMVI;Undetermined;none
AJ3PP77TEZGCI4FW7A4CXQG64E;USA only;Arizona
AJI6XDUM6OUQMNN56GP3SAJPW4;Non-USA;Italian 
AK6KB2L2QJD26KQOIAOQJDORTM;USA only;Washington 
AKYU3TLK2RM6PTY5E7ET7DQYSM;Undetermined;none
ALGNZHHUWWO3PH3WCKKYK4YWOU;Undetermined;none
ALM7KTHPDHP5SCGMNPECSVYYKI;USA only;Washington, DC
AM4X4MB5ARHHGHMYVKUNAN2O4Y;World;India - usa
AMHOAD5AX7NPH4OIORD6GODRTM;World;France - Canada - New Zealand - US
AO2637EY7GXAU3O4365SQVFIRU;Undetermined;none
AO4B6JPR7RTQZDF6TWAXSH7KEY;Undetermined;none
AO57YQJ2JHOAC6ASFM52FHLNBU;USA only;va
AOJ577H4RUEGAPJVZEDABWU7SU;Undetermined;none
APK4VGILGAFUFLDKWX7KJMHFNI;USA only;Houston Tx
APOG62VICYODURKC7NPB2XUDM4;USA only;Iowa
APQ7CH3FHW3EULLKHJ42K762SQ;USA only;Northwest U.S
AQ5LPRV7EKZXJIXTG2I7JWNHQI;USA only;Hollywood california - new york
AQAL25VHTTOZKKZTKJEAJ4X7FQ;USA only;New Orleans, La
AQN4ENL5FKKMANTORU2SIR2OME;USA only;San Francisco
AQRRTQLTEDBRFMAMNFYL36PY3E;Non-USA;Costa Rica
AQT6GRJGX7TMNNOAM7UYGIUDFU;USA only;Flint, Mi
AS6MZLWU5HPA6PIYSHN5R4TKA4;Undetermined;none
AS6N2VGDROQ7CO5TC22VPLEVR4;USA only;Chicago
ASGO7GNBUUII7Y47R6KSKQBM6Q;Non-USA;U.K  London 
ATOPYZUSXSZRZIBPB4P35PULWE;Undetermined;none
AU63KXPCYYTEMGTM7OZ7GF4JKM;Undetermined;none
AUPQDJIKZD6G2JNXXQ3EKHCJYI;USA only;Washington DC
AUTA5VYZB6A5PWXIPC2LKCOYGI;USA only;United States
AUXYBGRD4CSF5SOXXAMPJZKJXA;Undetermined;none
AWAMW3VUTG5YBE62VXJUVWIEKM;USA only;Philly
AWNUA4LRL7F4XY66LR5MWWOUQU;Non-USA;UK
AWWCNWJDQWD7P7V7I3G64HTNWY;Undetermined;none
AXBF355GHOTYQHWC4KGADLGVZU;USA only;Orlando - Florida
AXK4D4GFUCW5RJRVK5FB7J3ADQ;USA only;VERMONT
AY77X5WZYE5QNLDVJPXIHIDIBM;Undetermined;none
AYCEMNBLV2R2Z65JECAKQU2WCI;USA only; San Francisco
AYCNTV5NEZUXKH4VA2I3E6S3M4;Undetermined;none
AYPUAY55GQTH4XGTHYKFNRZ5BQ;USA only;Houston, TX
AYQ3LQIERPYRVXRNV6WDAS7TXE;USA only;Wyoming
AYSKKJWLLJ66HJHHGEQ2KSJZTY;Undetermined;none
AZEZT4DDSM5GNU56UBUURQHUU4;Undetermined;none
AZPEKRU7XCYMO6IP6AE4OVSFD4;Non-USA;New Zealand
AZWAOIJFNBCVP6PW63I36VT6DI;Undetermined;none
B22IJF2IWD7YJ5OB474NGF7OJQ;USA only;Jersey
B26GLHA4L46NOFSIG7T7VCNDIA;Non-USA;Chile 
B2DMJKJAPJCZ2N7TQA4SB5ZBBY;Non-USA;Dunedin NZ
B2EG6YBPG2A2KY6HEPK7R7F2DQ;USA only;Gulf Shores
B2U6YZVMCYNLOLFDYLR7NYOGEE;USA only;tupelo
B3DXPMMTPEH2WRQGHN6M3AANQI;USA only;usa
B3THXMIE7J2ZWC6QZPUJFSULEE;Non-USA;Belgium
B4QFPYA3DCXWDNBG3GOSVEIYKQ;Non-USA;London UK
B5LKG25BVCBECT6DXOGT3EL3ZA;Non-USA;Tasmania, Australia
B67EV6RDWDPFKKP6DXDFYTKOP4;Non-USA;Thailand 
B6BUUPUFFXU6M457227VXOP6AI;Undetermined;none
B6GIXMWLYFANH24DBPIT43C3Q4;USA only;Colorado Springs, CO
B6MVY36ULFOYUYR3VMXTJHVEBQ;USA only;Texas
B6UXUULODUYRXDYOITLHWSX2GE;USA only;GA
B6ZZI5YECVY2P6N7ALEOYSDKPU;USA only;Las Vegas
B7BYPGHGQWFEB2QXXJ7RKHOKGY;USA only;Deer Park, NY
B7FK3UPSMWFE4TQYHC7SO2XNXM;USA only;Birmingham, AL
BA5XPOXZN2AOOMXLOIE3BNT4UI;USA only;Houston Tx 18
BAVG2OEVHX747UFC557LFR3ZVA;USA only;Lebanon, Missouri
BAWQX6GWH5MJHAKX6RAYSXFHOQ;World;American - Australia  - Dubai 
BBGWDNKTEA4L7O62V656NWZPWY;USA only;EUREKA CA
BC5MFRZF45I5QKX4KX555Z74KY;Non-USA;ANTIGUA GUATEMALA
BCCXPCZWZNTDACAT5FAVAIDRB4;Non-USA;Ankara,Turkey
BCIOUKDYH3BH6R6PKAFMBUVIKU;Non-USA;Sweden
BCSKEGJBDVIDYIXIKZFJNLSR2Q;USA only;Phoenix
BDL7457OODN2Z5MKDNNH2JNWQQ;Non-USA;India
BDMAJ5TULLMPPI7KGW2T34VFPI;USA only;Connecticut
BDVA6G6BNJD34JENIWYE2XM3RI;Non-USA;Puerto Rico
BEUGYEPWAHYJ4XSQTOT3RFUA7Y;USA only;Michigan
BEUM6XBHL3UIVFODJXNAUN22UM;USA only;New York
BFEVWXBMWTDUCF5DZO3VMJQ4RI;Non-USA;North Wales
BFF2THO5PSQ4E2Y3TODP7BLX6Q;Non-USA;british - spain
BFH2FZY24YHKVJJUM3TVODINJM;USA only;Missouri 
BGKFT6YGI5EZUFGHLCK6I432XM;USA only;Texas
BGLUKNJIRVZCNPWNGJWAC7BJUA;Non-USA;Latvia 
BGNIJJ5XQTCOT33OZDIUBZTHYQ;Non-USA;Giza (Egypt) 
BGPJ7SUHFWXCAXSGYCKJLPJJXI;Undetermined;none
BHEREFZTPBJ5VZYH5IVKT6B5NA;Non-USA;Bali
BHKWRYPXWPJUY5TSPNU2OS77MQ;Undetermined;none
BIGJIIQPILO3QU3USWVCDQ4OPI;Non-USA;sunny north queensland
BIX222FNJ2PYRZWR5LP3YGOMZA;USA only;Florida 
BJ74HTMAFXLPIL4PI7SER7AO54;Non-USA;Staffordshire in the UK - Dartford, Kent.
BJH6FVMTC76USNNE7LJOK37T5Q;USA only;Central Vermont
BJJJSOIUVDMEB2PH5LADTDLM5Y;USA only;texas
BJSTEXRS7BMY4OIEQK57DL3OBM;USA only;Fayetteville, Tennessee
BKINTVX2AFAE6YT2AHVDDRXWU4;USA only;Laurinburg
BKOE4SZ3X5EQW5RREP4OMTWUAE;Undetermined;none
BKYHR5ZNIJW7DHTJMRUJ6KUF6M;USA only;New York
BLDS47MLNXKRBASHXQNIHIH3VA;USA only;California
BLQOUCUTJO4RXFAVFAIQZAGMIE;USA only;Boston
BM243WXY2OEERK6YG7EKA2CBOY;Undetermined;none
BMQC3XJWYU2TYLUJ4WOB6AJZPM;World;south Korea - Mississippi Oxford
BMXHGWCYZ5ZV6ALEVMHGALVN24;USA only; the Island of Oahu
BNGZQFDOMWILDKIGQHPW7BNZWA;Non-USA;UK
BO3X3TRDJEQ2MJXRNQ7MZRKIC4;USA only;Saint Louis, MO 
BOR3QYVID5FWMW324ETGGAHCVA;USA only;Texas 
BP3Q42R7M7Q5ZCC6PQUFEUBVOQ;USA only;Jersey - NC 
BPIAJ7KN26MYSRVKN3JTYETHTQ;Undetermined;none
BPMK5BLBPSGVEJ2R6FOTNOMIQA;USA only;Iowa 
BPY65DH2M76YEH4EMUF5YTVSLM;Non-USA;uk
BQAJFXP6WDLOXZ6VJMHFUMRIXM;USA only;Texas
BQLVCVAUM2BWVUWGNUQUZLO7IY;USA only;santa ana california
BRUYS7GZNHAUUBJN6UEPRCPGTU;USA only;Greensboro, NC - San Antonio, Texas - Lexington, Kentucky
BS3IAZKLUPK3SHZA7JCQWPHITM;Undetermined;none
BS6AFMAR55BVCENAPKSGF56JZI;USA only;Ithaca, NY
BSMBO34T7XNPAXZIOMWG325NUI;Non-USA;Montreal
BSR6HTLHZDIFBZTK5KPFD6GEQQ;USA only;Louisville, Ky. USA
BSY6OLKO6DYHM6RIRUBY6LSJYM;Non-USA;New Zealand
BTOY53B74HRULKY3U5MZB7C46Q;Undetermined;none
BTSXSNOGSO2ZGSL22JKLDNBLKQ;World;Texas/California - Filipino
BUBRQQOIHDJ6YP2NPEDHECWXZQ;Undetermined;none
BUGXX6KCOISJHTWOVK7FMAA3QA;USA only;texas
BUHGVEKHO6P2BVKP44464DB524;Non-USA;Scotland
BVKWJXGEA7MPQ4BKJCFBTZIKM4;Non-USA;Bath (UK)
BVPJ76ROFFVASJFQ3KPMDHX6FU;USA only;US
BVWBTSNHGQQRJU5HDB5OWFOATQ;USA only;Temecula
BVXACFLRE2BUWDK57B5MRM2RBQ;Undetermined;none
BW4DYQ2F3JJ4L5JSXZFHBQEBFI;USA only;Omaha, Nebraska
BWUXS7YLN3GFYJ3VUY5HSZHGH4;USA only;CALIFORNIA 
BXJ5XUEIZFQ3RSB2KL2PLJLY7I;USA only;St. Marys, Ga
BXTUCME7VPEJTON67YG4MR2E7A;Undetermined;none
BYHXI6YE2TYBD5MAPGWUI2NX5E;Undetermined;none
BYJS4PWDK6X3HQCYKQMEXDM6JU;Non-USA;canada 
BZKIX2KLKGAFPUKZMPAPNIKX5Y;USA only;sacramento california
BZQL2CWLHIZSUUPT4WAWDYYYQY;Non-USA;Romania
C2XODDEMQX6WU5OAOTIHKKGTVA;USA only;Houston Texas
C34IJSALC6JF73FFJLIK4SQBQY;Non-USA;Western Australia
C4CM6TUP654OGJ3OFCKMA5WHLA;Undetermined;none
C4SKFMUOHVGRPDHOEBSXPHVOAU;Undetermined;none
C6G7ZJR65ZRHMPXCC6LJEMNVUI;Non-USA;Uk
C73YM3JEZ7MOAONDCQ6UA5VHTU;USA only;Pennsylvania
C7B6IBCQNUIITCXH3ST2PYNFAA;USA only;Texas
C7SIGKE5POIF5SREO7TZQSF6HQ;Non-USA; From Alberta, Canada
CAGYE34GQSFYI4MFSNSTNZB5ZI;USA only;Minnesota 
CB2DSVSAKDDDQXQJOLLNRNLBBQ;Non-USA;barnsley 
CBKA45I5BF2RU2V2XUHJ4G3DDI;Non-USA; Canada
CBWBTCAFFSRAGLV5OWFK4Z5QEM;Non-USA;Madiun 
CC2HVHGN5B266SKXCPPAJIRQVI;Undetermined;none
CCJUXSS2VDB7AB36PVMG6JQZLQ;USA only;California
CCKO4ZKYGKGIDXC4XKEVCDVEAM;Undetermined;none
CDTQ4C6K47XUD73I7FWNCFEAKA;Non-USA;Scotland
CEBNPZL5EB6HHWZA7QTYBJ2M4A;Non-USA;Philippines
CEOU6C74THWASD7SDUD434IT44;USA only;Detroit
CFSUUHH62CNBF53E6BCPFQ4RIE;World;the United States -United Kingdom - Italy - Saudi Arabia - and Germany
CGYKVTHWG55PJ52W6BGXLYPZCE;Undetermined;none
CHUOUKYLVDCBVOP4YSNFOB475Q;Non-USA;London UK
CHXUUL5P4PTBJBLUEM5OETCPRM;Non-USA;west london
CI6R2YII4TZBR3Z7IM7NBFGWCY;Undetermined;none
CJSY3TW745PPIKJO3SYX3MBKJI;Undetermined;none
CKCTBENV6YSKMKCW2NDAUTT5OY;Non-USA;Istanbul 
CKU3HYELFRV5FBZFRAOAMXQVPU;USA only;NC
CKV3R7S25GKHZXXY4JP2WNVNEU;Undetermined;none
CL233VOPXMLH2PLMJ4OSD4UF7M;Non-USA;Australia 
CLNPW6EIQAOJZQXDHJ5P57N27I;Undetermined;none
CLWERACN2RTLTT7FNVMOSFXGVY;USA only;VA, U.S.A
CNOB6IM3RJYCWFQZLOC6XMWOIE;Undetermined;none
CNULMS7RALBHXPCY7CDEWSDBLE;Undetermined;none
CNY2HIP2TPP6LUWPQACNR2TYBM;Non-USA;CHILE
COAZY6I2DQB77XATHFPPLPIY2Y;USA only;Alabama 
COBOOJMTO55K2NTNADY76P7YJY;World;"South Africa - Az,""Valley of the sun"""
COMGNDAED7ZTU2L3VE4MOQM7XI;USA only;Rochester, NY
COOTACXPOXMUYTEPHLEGHP3VCU;Undetermined;none
CP3FBRLBWMD4ZPJIF77SH32RVE;Undetermined;none
CQUGMVZZISKHYL2A75SNHTZFJA;Non-USA;egypt
CR2C4X2QIXG2TSFZI2YN3GOXNE;Non-USA;iRan
CRCZHIYCLBL75XIRYCVASV5FLQ;World;England -  New York
CSSZOZVRZAVJORDWKBEPAX2TZM;Undetermined;none
CT3LDO3GLCO5BORBKT3WWGAYIU;Non-USA;China 
CTRXAJAKW4DO5PPXAQUSRC5YD4;Undetermined;none
CV3PKF6BMODSZ6O5EAFTQBOXCY;USA only;tigard, Oregon
CVEZ3F4LTFIUWQHDJW4MDGYOG4;USA only;florida 
CVMUZGV6MQVJZZLXG736ULCQW4;Non-USA; South London
CWOFXGBUKZYTUSU5PM2ONCMA6U;USA only;Wasilla, Alaska
CWR6L5RJC54VHIWLEAXTXWUYRM;Non-USA;Sweden 
CX43T3LYAVTYLIP6ZETG4QURGY;Undetermined;none
CXVDUICHINKP456KXO25QZWO4I;USA only;Grayson Country, Texas
CYCMMIZD5PPVEIPCUYS3TTWMJI;USA only;Rhode Island
CZHIPT3DPPCBN3UFJZEUHUJPZA;USA only;dallas
CZLNFRJAQUACZ73UHNGZNQDAWY;USA only;New York
CZPRJR6T4XZTX7FSF7MV2M7YRY;Non-USA;Nottingham, UK
D2ID47CXDUWYMKRJLR44T6A44M;World;New Zealand - US, Buffalo NY
D3ZKCMHAWNTUTKRIB4LJROXBWE;Undetermined;none
D5BAJYA6FRSN6GLAL4MG3XFT6M;World;GA - LA - Afghanistan - Iraq
D5CRQ5VUWXE2KFFZPXNSE2SLS4;Undetermined;none
D5JFANC4WJ7ECERNLBJOO7ELQA;Non-USA;iranian
D6CAULGINU64YEXYBYWG3JQFI4;USA only;Texas
D6UYL4JOVI22VBYNZCTDZ7HCN4;USA only;South Carolina
DAAUVYBNL6BGLYT3EIBMA4W6YA;USA only;alaska 
DB7ARSG6PWHMO3IL5RNCY6FCQY;Undetermined;none
DBG46B6KMDO7Y3NZ7ZXPH446NY;Non-USA;Ukraine
DBTFX45CZJKSL4Q4PBITQEPIDQ;Non-USA;Winchester, England
DC2TXGZDPFQAZ5NMIRZE5JMR6A;Undetermined;none
DCAUE7KSGYISSVWQISVLIUJFII;USA only;Texas - Maryland
DCS35MHT36KD23T45QILIKLGEY;USA only;Long Beach California
DCT2C6QGFYNU4PQLAM6RJUQ5CE;Undetermined;none
DCTP7LZGO2Y7B4Q4FZ773YWGPQ;Non-USA;london 
DCXYHTCRCNQQSZD5CXZLOPZGNU;USA only;Louisiana
DDSAV6VTDKRYJYTV7CHDT5SWCE;Undetermined;none
DE3XE2QKDIWEUNPBZYWN42ODIQ;USA only;California
DEKVGJTACUWAQ5QWPVTOS6NDXQ;Undetermined;none
DF2VB4N33LDIZVFMSJEDM5CI7Q;Non-USA;Ontario, Canada
DFB4ME7UR4I7BKL3IF3NRXU37Y;Non-USA;Cairo Egypt
DHARO6INALZE5TZ2CRAOTWTXNE;Undetermined;none
DHESKLJD64TVUJVHIQYEPCXPRA;Non-USA;Kuwait
DHGTP3JKHOSPJTA5XE6BGN4L5M;USA only;Wa
DHUGQDW5AEIGDZ45KNTV5D3SSQ;USA only;minnesota 
DICTSOEPIKZSTQXOCHM2CVUP6U;Undetermined;none
DJVDLLFGPTBO3WV6FQYK3QBCIE;Undetermined;none
DK2TGRTAULQ6HNHQ6R4BERB4YQ;Non-USA;newzealand - UK 
DK55OWKMH7HEK6PKL75RPL43ZQ;Non-USA;Scotland
DKFOLROMNLEPUP537HIHFHVBTM;Undetermined;none
DLB6DDXODX3GYBBRHZ7UCXXFFY;Non-USA; Melbourne, Australia
DM5IXBDFCT4BUN6RYILO6XWF2Y;Undetermined;none
DMEQOI3EL3XJ2KPCYTRTN7BWV4;USA only; San Antonio, TX
DN3F3LPHF7D4C2SVPNLSTGLLNE;Undetermined;none
DOA3UZXSWWBRTUUGS5CZSRCE5U;Non-USA;Laguna, Philippines
DOOIZF3SOD32B7YDNRNNCOJC74;Non-USA;Argentina 
DQ5OJTZMD4OTZS4TA2V3UW53HY;USA only;Georgia
DQJLXMGH2T7T2TXRZTD5AN7H2Y;Non-USA;Sydney, Australia
DQMP4LIY2FYS4BEFFLHN6ZN5TY;Non-USA;Mexicali, Baja California, Mexico
DR3BC4SC3CRMQJFRPAQD57BFVE;Non-USA;London, England
DRJIQ2FYHNDTEO7VUKIEZC4E2U;Undetermined;none
DRX3EWUQXIDZUTXEN737RQVOUY;USA only;AZ
DSRCZIWZKXXNCD35QQEWHAQQCQ;USA only;Utah
DTF6O4TMSUM42NRWYAYNTBHOUA;Non-USA;Surabaya
DU2NG6667JKW6INUDV54IQ5K5I;Undetermined;none
DUEQ57JQNOSNEN3ORBYZFZJBOY;Undetermined;none
DUKAK5TPAXIWEMVNMYQFIPVP5I;Non-USA;London
DUYDJRDKM7ANGNQROK2NURNYEE;Undetermined;none
DVNPK7X4OBKM3ANCX6HUMBJFBA;USA only;California
DVYLCQ465Q4DQFJQQA6PJCHR34;USA only;Conway Ark
DWAWWYZ2GDBAA2WSND76DHKAAY;Non-USA;england 
DWDYONKFDI4UYNG2IRLIFH5GD4;Undetermined;none
DWG23ZS5EHKOUXLJHJQDCAJMZI;Non-USA;China
DWGFMN3ODF7SR6NOYB622XPIXM;Undetermined;none
DXQYJTCBOVGBU53RVFZSLBYQPM;Non-USA;japan
DYOT3725P65EBWX7J6PJPV3M3Y;Undetermined;none
DZLHWBHLN4UXTNUU3SO236Q6IQ;World;Canadian - Seattle, Washington
DZNUF3MRVVU2O7FQQAF64VTRYA;USA only;Wa
DZRUZMIG4M54RT4VNWKP3HAVAU;USA only;Texas 
E2MGSZA6UBYMNSCO3XVD5XKJE4;Undetermined;none
E342DFXZ7IBS5YSRQABGCZWHB4;USA only;Virginia 
E3XWN6J5HQCREDOMWALZIX2TY4;Undetermined;none
E53MS4C6HRSTOLUWIVAHDGHHBE;Undetermined;none
E5C7MPFIWJDSF66WQXMCDI34OM;Non-USA;Rajkot, India
E66SGPU7TWFV3S4TKBKVRC4KZU;Undetermined;none
E7JKELXYMZ2RN5ST5FT6K6WU2E;Undetermined;none
EBDHX75YAHG3C456JHHKZUYP4E;USA only;Sacramento, California
EBWLFPISVA5GTL5E3YXDTATQLI;Non-USA;INDIA
ECDAQMAQUP6VUZV4Q4ORPLDJZM;USA only;Oregon  - Maine
ECDNX2HE3CMT2MGL42EW5KD2AM;USA only;New York
EDFTVMB72CBMW74M722YZU7JTQ;Non-USA;Bangalore, India
EDSOTXUBCL52TNWRKUKOXKLZZM;Non-USA;British - Bangkok, Thailand
EFLTRDLR4SE5AHD73WINQX7K6E;USA only;New Jersey
EGD6Y4V2HP6O6X53FUFVRIXR3U;Non-USA;nottz, england
EH33RC7KTUWBD6ZMCBEJQDZMV4;Non-USA;Malaysia 
EH4V3IJLF3I4CPGO3T3FUNINMY;USA only;Hawaii
EI2PXMUN3ZY3ZHBPJGKXQWHE7U;USA only;Brooklyn, NY
EICPC4T47NJYHUMB5ZY7NTRZVU;USA only;St. Louis, MO
EJ7WGE7IL2RGJNZOHCMVHZFJCU;USA only;chicago
EJXOELBZKXBRKZT3WO5ZD6YN2Y;USA only;Texas
EK2JU3SDZXY4XUWLD73PU42YIY;Undetermined;none
EK2XMG22O4HSMNDPQQPMD6DCDQ;Undetermined;none
EKBPYAV76M2UISQ5NFSJW4FXKU;Undetermined;none
EKMGMUXHXPUATG7ZYXMDVRG2WA;USA only;Chicago
EKTQWNDVRV433KDIBE6Y535CPY;Non-USA;Uberlandia, Brazil
EKXKWTFTFTRBTJB22DIZ36B5HU;Undetermined;none
ELOB2BA6R2WMMRIOUBKYIIW55I;USA only;Arkansas
ELOGPYARCMOXR5FOASKRMMCP3Q;USA only;New York
EMEFSKGURYXNTDXD4INZ7G3XXI;Undetermined;none
EMHD56RCTNQVHW3UXI4N4MF6T4;Non-USA;Athens, Greece
EMM7HE6RJZNWIEK76SQLUEKQNA;Non-USA;Hartlepool, NE UK
ENEOC6ULTADQRJPZWR4FAYKODQ;USA only;Plano
ENXB5X6AUHYX4SK35FVTU25JJY;USA only;California
EOZPURFNII56ZK5BABEQXUQSCI;USA only;Boston
EP7U236FAW73YVFT4LDNYT5DTQ;Undetermined;none
EPCX6HAJO72EKNG7TTVBF3GEAI;Non-USA;Canada 
EPJMXPCKFIJEPYDKC372RWXE6A;World;Michigan - zNevada - California - Japan  - Washington, D.C
EPS6P6EMWVQNFCA2CL5TEM2LUU;USA only;Washington, DC, USA.
EQ2TNYAV7TKXS4NIUFYQJ27GXM;Undetermined;none
EQ53ZNTSIQJ4U4N2BXZYJZMO2U;Non-USA;Bangladesh
EQFMVOL64DENG6CKATZR3PZW6Y;USA only;Arkansas
ERJE6VGFXGCNFOENH5CSGBQNBY;USA only;Bakersfield
ERV4IW774QJGKBWIVW7IWYSZTU;Non-USA;Cagayan de Oro City, Philippines
ESI76HJZJDQ7INOHRPDSD5O7MM;Undetermined;none
ESMIOYC2WRA4X2JUCEMC7DJASE;Non-USA;Alexandria, Egypt
ET4PAKRIJFROM2DJ2OMTXLXE5I;USA only;Detroit 
ETNSFFN6KX4G32CYE7QPAZLABE;Undetermined;none
ETQJKNMNSA5QPYSGRWRI4MXD4M;USA only;Michigan 
ETXQVXTYO2XWDL5P4ODOYSCUOA;Non-USA;Australia
EUB2NM4LESGCNUWRNICGLCUC7U;Undetermined;none
EUDC6PHQTO6ZYP5XDBYH6X574M;Non-USA;Indian
EUPDZ7KUCHXBC3OWM6CHNZT3ZM;Non-USA;Montreal city ,Canada
EUPER26IDKAX3RFX6LWNTU4KCE;USA only;New York
EVNRHY2NZBO5HCFGO76ZZHRBJU;Undetermined;none
EVQ7MRAOOQHUTNYNRTCMUL3EPE;Non-USA;ireland 
EVYXLKBMVEEWWTSYT5UHJMBPQE;Undetermined;none
EWWKFA7KYG76C662JIWPAJ3DYQ;Undetermined;none
EXE24JM7UGB6WB72AXJ4XE7V3Y;Non-USA;India 
EYK4OSZWEZM3HQ5DFNOSP5D4CQ;USA only;California 
EYXDQN5K3N6326ZFM6RHUW3KIU;Non-USA;South Africa, Pretoria
EZV335CMIYIX5PFRG5PXXCSXTE;Undetermined;none
F26RO3WBAP5Z27Y4NI57IWY4AI;Undetermined;none
F2BP3XFB45V4AGDPHZ54FRNBXQ;Undetermined;none
F3AJWB4BNUCLSOU5KXTX44CB64;Non-USA;Yorkshire,England
F3LBQO5AYBBOGGNR6HLLMNN2YA;World;England - NW Illinois
F4IL3U7VPAFWVG4HNNRIUAHQ7U;Non-USA;Germany
F4XYPAO33N4B4HTOLXUJKX2SBQ;Non-USA;cali
F5VRTLN3BKTACQOW2UXAUFCE6U;USA only;Sugar Land, TX - Florida 
F77IO3IYBZNOKNLUGLVXONTBHI;Non-USA;Sweden
F7QRGCURK3QALEOLLBRQJBQQDA;USA only;New Hampshire
F7ZFQC77XRLF6BGHO2NJAUBZ4U;Undetermined;none
FADMLRFS4TRJM7GW5BXQLUNSKA;Non-USA;Brisbane Australia
FATOBETMZLQ2Y6TZL5EIL4X2NM;USA only;Long Island
FAYYV3FTZYSO5KKQ27IIHTQ6JE;USA only;Maryland
FB4XUJ5WN23BLVYFVD6ZATL5SU;Non-USA;London 
FBORSQKLO24JCWS7FEXR22X2BY;Non-USA;Nottinghamshire, United Kingdom
FBQ4QJDGAXDLA4IICTXIQQC6RQ;Undetermined;none
FC7A2VY3ER4DERGTE5PPZVZUMA;USA only;Rhode Island
FCSR3JVUOQEYVEU7KGUHGZXQK4;Undetermined;none
FCXG7DLUZAOZ7Z4NZBPQU6FPQY;USA only;Houston - Pasadena, Tx
FD3MDORXLQYBOZHRFGMBLP4ETE;USA only;San Francisco
FFGAHVYHM6Q4JV4ECOXFYOVU64;USA only;Oakland California 
FFNZOJYCXSBWXM4EIK2Y6WPJK4;USA only;US
FGYICWMLC4NHXA6E4V32GITQSY;Non-USA;Maldon in Essex, England
FH5LBWHOVW7J6QTX635USSPSIQ;USA only;Somerset, California
FHE7F4V2AS6IZW3G66IL3ETCNY;Undetermined;none
FHO6PAPUXWFPOVYKADFU26LMEU;USA only;SLIDELL LOUISIANA
FHSC7RONWLB7AWXVPNNOD5SG3A;World;Cali - idaho
FIBL7CK47YNGSDCLHGVGQQNTII;Non-USA;Noida
FIPODVCUEIJYUGS5LBZIUT3A2A;USA only;Seattle Washington
FIQFJSALUEGNJWACSWJJOBLIXY;World;Honduras - US
FJYDY7EADXRQ7AYZJPLM36BM6M;Non-USA;Sweden 
FKA5HI44TO6DUQTH4D3KZVDGJU;Non-USA;liverpool
FKAKMDY66YBICFV3PPSS62KPPU;USA only;Cincy, Ohio
FKL22UY5QS263BWLVXGNNRTIXU;Non-USA;Tokyo, Japan
FM5ENLRGOVB7WPASMCV6BHSYS4;Undetermined;none
FMA5A3JJVXL5RYPKS7V32LSW7Q;Undetermined;none
FMCYRN4I42YF5WWSUN7KXLSIG4;Non-USA;Scotland
FMRJQ6HWFIK56RCCCZNRPNVADI;Undetermined;none
FNYPAMQTOWXSXOWUECUF6EJZ7Q;USA only;New England
FO4FHFLOY63K7MU6VRQKWHSKWE;Non-USA;Korean
FOREDGLID6CPDY7YJQ5MN2XIEA;Non-USA;Essex, UK
FOSBPAADD4X7DHFUQNQFBN5JLM;Non-USA;dominican republic
FOTORNP6OLDZXP5N26TSH3VZYI;Undetermined;none
FPHJ4GGKHRDYKWI5NUVYLRH6XM;Undetermined;none
FPK3GDHZZUTI74XYIJX4ID3CCU;Undetermined;none
FPW2AUSPQXHTVFH67XLGPBLSFE;Undetermined;none
FQZEJT2GFTPF5Y3TDJ4N6YQXRM;Non-USA;Perth, Western Australia
FR2KTF3VC4B4CDT5NPHVB6BPR4;Undetermined;none
FRASNJLKWXXPB3CAWDZONZFM3E;Non-USA;Vadodara
FSKQUDZXM433Q3EZIEMOVJBUII;Non-USA;uk 
FSPTJWPZ7QPY6RMQENPUAD4A3U;Non-USA;Egypt - Turkey -Sudan - Kenya
FUFO6JXJER3KDXQZHJREG7OSY4;USA only;Phoenix, Arizona - Los Angeles
FVGCU2JUZHJDXEEC6VFSFPLHW4;Undetermined;none
FWVUEV6IBT5IGV54AZKIQXZYMQ;Undetermined;none
FXL63PSL66WOOMEYNBNAN2YV5E;USA only;oHIo
G24B2QVG5RY6ECFHIJXRGZ5JJM;USA only;long beach, CA
G3HWOYZOXWFR5WLE3QLPGKT44A;World;Tehran, Iran - USA
